rank,game_id,start_time,match,pick,odds,units,confidence_pct,reason,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,timestamp​
3,261746,2025-11-09T01:00:00.000Z,Cavaliers vs Bulls,Under 240.0,-110,2,85,"Total_score_last 240.0 with even -110/-110 pricing favors an under lean at a high threshold.",119-112,0,0,0,0,0,1,-345,280,N/A,240.0,-110,-110,-8.5,-110,8.5,-110,2025-11-08T15:23:00Z​
4,261745,2025-11-09T00:30:00.000Z,76ers vs Raptors,76ers -5.5,-108,2,84,"Home_spread_last -5.5 at -108 aligns with home_money_line_last -191 for the favorite.",121-112,1,0,0,0,0,0,-191,165,N/A,236.5,-111,-110,-5.5,-108,5.5,-112,2025-11-08T15:23:00Z​
5,261744,2025-11-09T00:00:00.000Z,Wizards vs Mavericks,Mavericks -4.5,-109,2,83,"Away_spread_last -4.5 at -109 and away_money_line_last -185 back the road favorite.",112-120,0,0,1,0,0,0,154,-185,N/A,229.5,-115,-114,4.5,-112,-4.5,-109,2025-11-08T15:23:00Z​
6,261748,2025-11-09T01:00:00.000Z,Heat vs Trail Blazers,Under 241.5,-110,2,82,"Total_score_last 241.5 with under_odds_last -110 supports a position against an elevated total.",119-112,0,0,0,0,0,1,137,-162,N/A,241.5,-105,-110,3.5,-110,-3.5,-110,2025-11-08T15:23:00Z​
7,261747,2025-11-09T01:00:00.000Z,Spurs vs Pelicans,Under 224.5,-110,2,81,"Symmetric -110 with total_score_last 224.5 keeps value on the under at this number.",118-104,0,0,0,0,0,1,-575,405,N/A,224.5,-110,-110,-10.5,-112,10.5,-108,2025-11-08T15:23:00Z
1,261753,2025-11-09T23:00:00.000Z,Knicks vs Nets,Knicks -15.5,-110,2,86,"Home_spread_last -15.5 with -110 and home_money_line_last -950 indicate strong home chalk.",125-102,1,0,0,0,0,0,-950,625,N/A,229.5,-109,-112,-15.5,-110,15.5,-110,2025-11-08T23:10:00Z​
2,261751,2025-11-09T03:30:00.000Z,Clippers vs Suns,Clippers -5.5,-105,2,85,"Home -5.5 at -105 aligns with home_money_line_last -205.",116-108,1,0,0,0,0,0,-205,170,N/A,227.5,-115,-110,-5.5,-105,5.5,-115,2025-11-08T23:10:00Z​
3,261750,2025-11-09T02:00:00.000Z,Nuggets vs Pacers,Nuggets -10.5,-110,2,85,"Home_spread_last -10.5 and -110 juice match home_money_line_last -524.",126-108,1,0,0,0,0,0,-524,380,N/A,236.5,-110,-110,-10.5,-110,10.5,-110,2025-11-08T23:10:00Z​
4,261754,2025-11-09T23:00:00.000Z,Grizzlies vs Thunder,Thunder -10.5,-110,2,84,"Road favorite with away_spread_last -10.5 at -110 and away_money_line_last -520.",105-120,0,0,1,0,0,0,390,-520,N/A,233.5,-110,-110,10.5,-110,-10.5,-110,2025-11-08T23:10:00Z​
5,261745,2025-11-09T00:30:00.000Z,76ers vs Raptors,76ers -5.5,-105,2,83,"Home_spread_last -5.5 at -105 with home_money_line_last -199.",121-112,1,0,0,0,0,0,-199,170,N/A,236.5,-112,-108,-5.5,-105,5.5,-115,2025-11-08T23:10:00Z​
6,261744,2025-11-09T00:00:00.000Z,Wizards vs Mavericks,Mavericks -4.5,-109,2,82,"Away_spread_last -4.5 at -109 matches away_money_line_last -168.",110-118,0,0,1,0,0,0,141,-168,N/A,232.5,-112,-105,4.5,-109,-4.5,-114,2025-11-08T23:10:00Z​
7,261746,2025-11-09T01:00:00.000Z,Cavaliers vs Bulls,Cavaliers -8.5,-105,2,82,"Home_spread_last -8.5 at -105 with home_money_line_last -347.",121-109,1,0,0,0,0,0,-347,280,N/A,239.5,-105,-110,-8.5,-105,8.5,-115,2025-11-08T23:10:00Z​
8,261748,2025-11-09T01:00:00.000Z,Heat vs Trail Blazers,Under 241.5,-110,2,81,"Total_score_last 241.5 with under_odds_last -110 favors a position under a lofty number.",119-112,0,0,0,0,0,1,140,-167,N/A,241.5,-110,-110,3.5,-105,-3.5,-115,2025-11-08T23:10:00Z
1,261753,2025-11-09T23:00:00.000Z,Knicks vs Nets,Knicks -15.5,-110,2,87,"Home_spread_last -15.5 at -110 with home_money_line_last -1200 confirms heavy home chalk.",124-101,1,0,0,0,0,0,-1200,750,N/A,228.0,-110,-110,-15.5,-110,15.5,-110,2025-11-09T15:24:00Z​
2,261757,2025-11-10T01:30:00.000Z,Warriors vs Pacers,Warriors -12.5,-110,2,86,"Home_spread_last -12.5 at -110 aligns with home favoritism at home_money_line_last -724.",121-106,1,0,0,0,0,0,-724,482,N/A,229.5,-105,-115,-12.5,-110,12.5,-110,2025-11-09T15:24:00Z​
3,261758,2025-11-10T02:00:00.000Z,Kings vs Timberwolves,Under 235.5,-110,2,85,"Total_score_last 235.5 with symmetric -110 pricing favors the under at a high number.",116-112,0,0,0,0,0,1,-219,180,N/A,235.5,-115,-110,5.5,-115,-5.5,-105,2025-11-09T15:24:00Z​
4,261756,2025-11-10T00:30:00.000Z,76ers vs Pistons,Under 232.0,-110,2,84,"Total_score_last 232.0 and under_odds_last -110 provide value against modest over interest.",118-106,0,0,0,0,0,1,141,-166,N/A,232.0,-110,-110,4.5,-115,-4.5,-105,2025-11-09T15:24:00Z​
5,261755,2025-11-09T23:00:00.000Z,Magic vs Celtics,Magic -3.5,-110,2,83,"Home_spread_last -3.5 at -110 alongside home_money_line_last -162 supports the home side.",117-111,1,0,0,0,0,0,-162,136,N/A,227.5,-110,-110,-3.5,-110,3.5,-110,2025-11-09T15:24:00Z​
6,261754,2025-11-09T23:00:00.000Z,Grizzlies vs Thunder,Under 232.5,-110,2,81,"Total_score_last 232.5 with balanced -110 odds supports an under lean.",109-116,0,0,0,0,0,1,390,-522,N/A,232.5,-110,-110,10.5,-105,-10.5,-115,2025-11-09T15:24:00Z
1,261765,2025-11-11T02:00:00.000Z,Suns vs Pelicans,Suns -8.5,-110,2,86,"Home −8.5 at −110 with home ML −347 confirms strong home chalk.",119-106,1,0,0,0,0,0,-347,285,N/A,225.5,-115,-105,-8.5,-110,8.5,-110,2025-11-10T18:16:00Z​
2,261759,2025-11-11T00:00:00.000Z,Hornets vs Lakers,Lakers -8.5,-110,2,85,"Away −8.5 at −110 aligns with away ML −325 vs home +270.",111-121,0,0,1,0,0,0,270,-325,N/A,232.5,-110,-110,8.5,-110,-8.5,-110,2025-11-10T18:16:00Z​
3,261766,2025-11-11T02:00:00.000Z,Jazz vs Timberwolves,Timberwolves -7.5,-110,2,84,"Away −7.5 at −110 with away ML −305 indicates clear road favorite.",108-116,0,0,1,0,0,0,247,-305,N/A,234.5,-110,-110,7.5,-110,-7.5,-110,2025-11-10T18:16:00Z​
4,261767,2025-11-11T03:30:00.000Z,Clippers vs Hawks,Clippers -4.5,-118,2,83,"Home −4.5 at −118 and home ML −183 support laying points.",115-108,1,0,0,0,0,0,-183,154,N/A,220.5,-110,-110,-4.5,-118,4.5,-102,2025-11-10T18:16:00Z​
5,261763,2025-11-11T01:00:00.000Z,Bulls vs Spurs,Under 237.0,-110,2,81,"Total 237.0 with even −110/−110 supports an under lean.",118-112,0,0,0,0,0,1,147,-177,N/A,237.0,-110,-110,4.5,-115,-4.5,-105,2025-11-10T18:16:00Z​
6,261760,2025-11-11T00:00:00.000Z,Magic vs Trail Blazers,Under 235.5,-105,2,80,"Elevated total with reduced‑juice under at −105.",117-108,0,0,0,0,0,1,-130,110,N/A,235.5,-115,-105,-2.5,-105,2.5,-115,2025-11-10T18:16:00Z​
7,261761,2025-11-11T00:00:00.000Z,Pistons vs Wizards,Pistons -11.5,-110,1,79,"Home −11.5 at −110 paired with heavy home ML −650.",121-104,1,0,0,0,0,0,-650,472,N/A,235.5,-105,-114,-11.5,-110,11.5,-110,2025-11-10T18:16:00Z​
8,261762,2025-11-11T00:30:00.000Z,Heat vs Cavaliers,Under 247.5,-110,1,78,"Lofty total 247.5 with symmetric −110 presents value under.",121-116,0,0,0,0,0,1,240,-305,N/A,247.5,-110,-110,7.5,-105,-7.5,-115,2025-11-10T18:16:00Z
1,261759,2025-11-11T00:00:00.000Z,Hornets vs Lakers,Lakers -8.5,-112,2,84,"LeBron out, but Hornets missing LaMelo and Miller with several other absences; Lakers’ depth vs depleted Charlotte supports -8.5 at last odds.",108-118,0,0,1,0,0,0,280,-345,N/A,230.5,-110,-110,8.5,-109,-8.5,-114,2025-11-10T23:10:00Z
2,261762,2025-11-11T00:30:00.000Z,Heat vs Cavaliers,Cavaliers -7.5,-110,2,82,"Heat without Bam Adebayo and Tyler Herro; Cavs healthier and should control inside and tempo; last spread -7.5 -110.",109-117,0,0,1,0,0,0,240,-298,N/A,247.5,-105,-110,7.5,-110,-7.5,-110,2025-11-10T23:10:00Z
3,261761,2025-11-11T00:00:00.000Z,Pistons vs Wizards,Pistons -11.5,-110,1,76,"Wizards undermanned and struggling; number is big but Detroit superiority at home makes -11.5 reasonable at last odds.",124-108,1,0,0,0,0,0,-650,470,N/A,235.5,-115,-114,-11.5,-110,11.5,-110,2025-11-10T23:10:00Z
1,282034,2025-11-12T00:30:00.000Z,Knicks vs Grizzlies,Knicks -9.5,-115,2,86,"Home favorite with -9.5 at -115 in last columns; Knicks’ profile supports a double-digit win.",123-108,1,0,0,0,0,0,-425,330,N/A,231.5,-110,-110,-9.5,-115,9.5,-105,2025-11-11T18:53:00Z​
2,261769,2025-11-12T01:00:00.000Z,Thunder vs Warriors,Thunder -7.5,-110,2,84,"OKC favorite at -7.5 -110 in last; depth and defense vs Warriors’ road volatility.",119-108,1,0,0,0,0,0,-302,245,N/A,227.5,-114,-110,-7.5,-110,7.5,-110,2025-11-11T18:53:00Z​
3,261771,2025-11-12T02:00:00.000Z,Jazz vs Pacers,Pacers -2.5,-115,2,82,"Away favorite with away_spread_last -2.5 -115; Indy’s pace and creation edge projects a narrow road win.",115-112,0,0,1,0,0,0,120,-142,N/A,232.5,-112,-109,2.5,-105,-2.5,-115,2025-11-11T18:53:00Z​
4,261768,2025-11-12T00:30:00.000Z,Nets vs Raptors,Raptors +10.5,-106,2,81,"Away underdog getting +10.5 -106 in last; double-digit cushion vs inconsistent Nets’ offense.",112-104,0,0,1,0,0,0,350,-452,N/A,233.5,-110,-110,10.5,-114,-10.5,-106,2025-11-11T18:53:00Z​
5,261772,2025-11-12T04:00:00.000Z,Kings vs Nuggets,Nuggets -8.5,-115,2,81,"Away favorite -8.5 -115 in last; Denver halfcourt and clutch edge for margin.",121-110,0,0,1,0,0,0,295,-372,N/A,242.5,-110,-111,8.5,-105,-8.5,-115,2025-11-11T18:53:00Z​
6,261770,2025-11-12T01:00:00.000Z,76ers vs Celtics,76ers +1.5,-110,1,79,"Home underdog +1.5 -110 in last; tight matchup with value to catch points at home.",115-114,1,0,0,0,0,0,-102,-119,N/A,229.5,-110,-110,1.5,-110,-1.5,-110,2025-11-11T18:53:00Z​
7,282034,2025-11-12T00:30:00.000Z,Knicks vs Grizzlies,Under 231.5,-110,1,78,"Total 231.5 with under -110 in last; Knicks control and Memphis pace suppression lean under.",116-108,0,0,0,0,0,1,-425,330,N/A,231.5,-110,-110,-9.5,-115,9.5,-105,2025-11-11T18:53:00Z​
8,261769,2025-11-12T01:00:00.000Z,Thunder vs Warriors,Under 227.5,-110,1,78,"Total 227.5 with under -110 in last; OKC defense and Warriors road variance lower scoring.",114-106,0,0,0,0,0,1,-302,245,N/A,227.5,-114,-110,-7.5,-110,7.5,-110,2025-11-11T18:53:00Z​
9,261771,2025-11-12T02:00:00.000Z,Jazz vs Pacers,Over 232.5,-109,1,77,"Total 232.5 with over -109 in last; Indy tempo and Utah home offense favor points.",118-116,0,0,0,0,1,0,120,-142,N/A,232.5,-112,-109,2.5,-105,-2.5,-115,2025-11-11T18:53:00Z​
10,261768,2025-11-12T00:30:00.000Z,Nets vs Raptors,Under 233.5,-110,1,76,"Total 233.5 with under -110 in last; Nets halfcourt inconsistency plus Raptors defense underpins this number.",112-104,0,0,0,0,0,1,350,-452,N/A,233.5,-110,-110,10.5,-114,-10.5,-106,2025-11-11T18:53:00Z​
11,261772,2025-11-12T04:00:00.000Z,Kings vs Nuggets,Under 242.5,-111,1,75,"Total 242.5 with under -111 in last; large number versus Denver’s deliberate late-game pace adds downside to scoring.",118-112,0,0,0,0,0,1,295,-372,N/A,242.5,-110,-111,8.5,-105,-8.5,-115,2025-11-11T18:53:00Z
1,261778,2025-11-13T01:00:00.000Z,Rockets vs Wizards,Rockets -16.5,-110,3,92,"Home favorite in extreme spread band where favorites cover at very high rates historically; Wizards outclassed; market at -16.5; lay it at standard juice. [web:7]",132-105,1,0,0,0,0,0,-1600,900,N/A,235.5,-105,-115,-16.5,-110,16.5,-110,2025-11-12T17:13:00Z
2,261775,2025-11-13T00:00:00.000Z,Knicks vs Magic,Knicks -4.5,-110,3,90,"Solid home favorite range (-3.5 to -5.5) has strong cover rates; Knicks form supports medium spreads; juice fair. [web:7]",118-109,1,0,0,0,0,0,-192,160,N/A,227.5,-105,-110,-4.5,-110,4.5,-110,2025-11-12T17:13:00Z
3,261776,2025-11-13T00:30:00.000Z,Celtics vs Grizzlies,Celtics -6.5,-110,2,88,"Home favorite in -6 to -7 band trends well; Memphis offense volatility boosts Boston margin stability. [web:7]",121-112,1,0,0,0,0,0,-258,210,N/A,230.5,-108,-112,-6.5,-110,6.5,-110,2025-11-12T17:13:00Z
4,261777,2025-11-13T00:30:00.000Z,Heat vs Cavaliers,Heat -5.5,-115,2,86,"Home favorite in -5 to -6 band; Heat late-game profile; slight juice tax acceptable. [web:7]",120-112,1,0,0,0,0,0,-227,189,N/A,238.5,-111,-110,-5.5,-115,5.5,-105,2025-11-12T17:13:00Z
5,261780,2025-11-13T01:00:00.000Z,Spurs vs Warriors,Spurs -4.5,-109,2,85,"Home favorite -4.5 in profitable mid band; market aligns; fair price at -109. [web:7]",119-112,1,0,0,0,0,0,-182,152,N/A,231.5,-112,-110,-4.5,-109,4.5,-112,2025-11-12T17:13:00Z
6,261782,2025-11-13T02:30:00.000Z,Thunder vs Lakers,Thunder -7.0,-108,2,84,"Home favorite -7 band historically solid; Thunder margin profile supports cover at improved -108. [web:7]",124-115,1,0,0,0,0,0,-282,160,N/A,231.5,-105,-112,-7.0,-108,7.0,-112,2025-11-12T17:13:00Z
7,261781,2025-11-13T01:30:00.000Z,Mavericks vs Suns,Suns -1.5,-105,1,79,"Away favorite by small number; tight bands can favor elite late-game closers; reduced juice helps. [web:7]",113-111,0,0,1,0,0,0,-107,-111,N/A,227.5,-110,-110,1.5,-115,-1.5,-105,2025-11-12T17:13:00Z
8,261784,2025-11-13T03:30:00.000Z,Clippers vs Nuggets,Nuggets -3.5,-105,1,78,"Away favorite -3.5 within mid band; Nuggets matchup edge; better than standard juice. [web:7]",109-114,0,0,1,0,0,0,130,-155,N/A,224.5,-110,-110,3.5,-115,-3.5,-105,2025-11-12T17:13:00Z
9,261783,2025-11-13T03:00:00.000Z,Kings vs Hawks,Hawks -3.5,-110,1,76,"Away favorite -3.5 remains serviceable; Hawks offense travel-ready vs Kings defense. [web:7]",112-116,0,0,1,0,0,0,137,-160,N/A,233.5,-110,-110,3.5,-110,-3.5,-110,2025-11-12T17:13:00Z
10,261779,2025-11-13T01:00:00.000Z,Pelicans vs Trail Blazers,Trail Blazers -8.5,-105,1,72,"Away favorite -8.5 in workable band; reduced juice; Pelicans priced as dog suggests form/injury drag. [web:7]",108-118,0,0,1,0,0,0,272,-342,N/A,229.5,-115,-105,8.5,-115,-8.5,-105,2025-11-12T17:13:00Z
1,261785,2025-11-14T00:00:00.000Z,Cavaliers vs Raptors,Cavaliers -7.5,-110,3,90,"Home favorite -7.5 with fair juice; steady closing band fits profitable ATS range.",119-108,1,0,0,0,0,0,-285,235,N/A,238.5,-105,-111,-7.5,-110,7.5,-110,2025-11-14T23:52:00Z
2,261786,2025-11-14T02:00:00.000Z,Suns vs Pacers,Suns -3.5,-115,2,89,"Phoenix home favorite in -3 to -4.5 band; accept -115.",118-112,1,0,0,0,0,0,-185,150,N/A,233.5,-110,-110,-3.5,-115,3.5,-105,2025-11-14T23:52:00Z
3,261578,2025-11-15T02:30:00.000Z,Spurs vs Warriors,Spurs -2.5,-107,2,86,"Home favorite -2.5 at better than standard juice; supportive closing price.",119-114,1,0,0,0,0,0,-135,114,N/A,234.5,-110,-110,-2.5,-107,2.5,-114,2025-11-14T23:52:00Z
4,261571,2025-11-15T00:00:00.000Z,Knicks vs Heat,Knicks -4.0,-110,2,85,"NYK as home favorite in medium band; even price.",117-110,1,0,0,0,0,0,-177,146,N/A,235.5,-110,-110,-4.0,-110,4.0,-110,2025-11-14T23:52:00Z
5,261572,2025-11-15T00:30:00.000Z,Pistons vs 76ers,Pistons -7.0,-110,2,84,"Home favorite -7.0; standard juice; mid-large band fit.",116-107,1,0,0,0,0,0,-230,190,N/A,232.5,-110,-110,-7.0,-110,7.0,-110,2025-11-14T23:52:00Z
6,261575,2025-11-15T01:00:00.000Z,Rockets vs Trail Blazers,Rockets -8.5,-110,1,78,"Home favorite -8.5 at even vig; acceptable edge.",122-111,1,0,0,0,0,0,-330,270,N/A,236.5,-110,-110,-8.5,-110,8.5,-110,2025-11-14T23:52:00Z
7,261576,2025-11-15T01:00:00.000Z,Pelicans vs Lakers,Lakers -10.5,-105,1,76,"Away favorite -10.5; price -105 acceptable for large number with travelable offense.",112-124,0,0,1,0,0,0,355,-457,N/A,229.5,-110,-105,10.5,-110,-10.5,-110,2025-11-14T23:52:00Z
8,261787,2025-11-14T02:00:00.000Z,Jazz vs Hawks,Hawks -1.5,-115,1,75,"Away favorite -1.5 in coin-flip band; accept -115.",113-116,0,0,1,0,0,0,110,-130,N/A,233.5,-110,-110,1.5,-105,-1.5,-115,2025-11-14T23:52:00Z
9,261570,2025-11-15T00:00:00.000Z,Magic vs Nets,Magic -14.5,-105,1,74,"Large home favorite at reduced juice; only at listed number.",125-104,1,0,0,0,0,0,-874,587,N/A,228,-110,-110,-14.5,-105,14.5,-115,2025-11-14T23:52:00Z
10,261786,2025-11-14T02:00:00.000Z,Suns vs Pacers,Under 233.5,-110,1,70,"Totals frameworks show edges when markets inflate; 233.5 playable to the Under at even vig.",116-112,0,0,0,0,0,1,-185,150,N/A,233.5,-110,-110,-3.5,-115,3.5,-105,2025-11-14T23:52:00Z
1,261570,2025-11-15T00:00:00.000Z,Magic vs Nets,Magic -14.5,-105,3,90,"Large home favorite at reduced juice; clear class gap; stable -14.5 in _last.",124-104,1,0,0,0,0,0,-924,625,N/A,224.5,-110,-110,-14.5,-105,14.5,-115,2025-11-14T20:54:00Z
2,261573,2025-11-15T01:00:00.000Z,Timberwolves vs Kings,Timberwolves -11.5,-110,2,88,"Elite home favorite at even vig in double-digit band; margin profile supports cover.",129-112,1,0,0,0,0,0,-612,452,N/A,240.0,-110,-110,-11.5,-110,11.5,-110,2025-11-14T20:54:00Z
3,261574,2025-11-15T01:00:00.000Z,Bucks vs Hornets,Bucks -9.5,-105,2,86,"Mid-large home favorite at advantageous juice; defense mismatch aids cover.",126-112,1,0,0,0,0,0,-392,300,N/A,239.5,-110,-110,-9.5,-105,9.5,-115,2025-11-14T20:54:00Z
4,261575,2025-11-15T01:00:00.000Z,Rockets vs Trail Blazers,Rockets -7.5,-112,2,85,"Home favorite under double digits with -7.5 _last and standard-plus juice.",121-110,1,0,0,0,0,0,-315,255,N/A,236.5,-110,-110,-7.5,-112,7.5,-108,2025-11-14T20:54:00Z
