rank,game_id,match,pick,odds,units,confidence_pct,reason,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,model,start_time,start_time_pt,timestamp,date
7,261650,Suns vs Kings,Kings +4.5,-115,2,75,Line moved from +3.5 to +4.5 while Kings money increased 43% to 45%. Getting better number as road dog with improving sharp position.,113-116,0,0,1,0,0,0,-180,150,,228.5,-110,-110,-4.5,-105,4.5,-115,claude,2025-10-23T02:00:00.000Z,2025-10-22 19:00:00-07:00,2025-10-22 07:30:00+00:00,2025-10-22
9,261648,Grizzlies vs Pelicans,Grizzlies -4.5,-117,2,70,Line holding at -4.5 but odds moved from -115 to -117 with consistent 92% ticket support. Money steady at 69%. Slight juice increase indicates sharp support for favorite.,119-113,1,0,0,0,0,0,-190,160,,236.5,-115,-105,-4.5,-117,4.5,-103,claude,2025-10-23T00:00:00.000Z,2025-10-22 17:00:00-07:00,2025-10-22 07:30:00+00:00,2025-10-22
10,261544,Mavericks vs Spurs,Spurs +2.5,-110,1,66,Line moved from +3.0 to +2.5 while Spurs money increased from 20% to 24%. Small line move toward underdog suggests some sharp interest despite low ticket percentage.,111-110,0,0,1,0,0,0,-150,125,,226.5,-115,-107,-2.5,-110,2.5,-110,claude,2025-10-23T01:30:00.000Z,2025-10-22 18:30:00-07:00,2025-10-22 07:30:00+00:00,2025-10-22
1,261648,Grizzlies vs Pelicans,Grizzlies -3.5,-115,3,99,MASSIVE SHARP FLIP-BACK: Line MOVED BACK from -4.5 to -3.5! Grizzlies money SURGED from 64% to 79% while Pelicans spread tickets climbed to 80%. This is sharps getting better number. ML went from -190 to -176 (improving). Elite sharp re-load on favorite at better price.,120-114,1,0,0,0,0,0,-176,150,,236.5,-106,-110,-3.5,-115,3.5,-105,claude,2025-10-23T00:00:00.000Z,2025-10-22 17:00:00-07:00,2025-10-22 23:45:00+00:00,2025-10-22
2,261644,Celtics vs 76ers,Celtics -5.0,-112,3,98,"EXTREME LINE PUSH: Spread now at -5.0 (was -2.5, moved 2.5 points!). Celtics ML from -142 to -192. Celtics money dropped to 63% but that's AFTER 2.5-point line move - early sharp money forced massive adjustment. Spread money at 53% despite huge line move.",122-108,1,0,0,0,0,0,-192,162,,229.5,-109,-111,-5.0,-112,5.0,-107,claude,2025-10-22T23:30:00.000Z,2025-10-22 16:30:00-07:00,2025-10-22 23:45:00+00:00,2025-10-22
3,261647,Bucks vs Wizards,Bucks -10.5,-107,3,97,"SHARP BLOWOUT CONSENSUS: Line at -10.5 (was -8.5). Bucks money at 97% on ML, spread money at 65% (up from 44%). Over money EXPLODED to 92% (was 75%). Sharps see total destruction - Bucks by 15+.",128-107,1,0,0,0,0,0,-440,340,,227.5,-110,-110,-10.5,-107,10.5,-112,claude,2025-10-23T00:00:00.000Z,2025-10-22 17:00:00-07:00,2025-10-22 23:45:00+00:00,2025-10-22
5,261651,Trail Blazers vs Timberwolves,Timberwolves -4.5,-110,3,94,SUSTAINED SHARP DOMINANCE: Wolves spread money at 72% (was 45%). Over money at 91% (was 81%). Blazers spread tickets at 77% but line HOLDING at -4.5. ML at 93% on Wolves. Complete sharp consensus.,101-114,0,0,1,0,0,0,150,-185,,221.0,-110,-108,4.5,-110,-4.5,-110,claude,2025-10-23T02:00:00.000Z,2025-10-22 19:00:00-07:00,2025-10-22 23:45:00+00:00,2025-10-22
6,261650,Suns vs Kings,Suns -3.5,-115,3,92,"SHARP REVERSAL BACK: Suns money came BACK to 45% (was at 32%, now recovering). Line moved back to -3.5 from -4.5. Kings money peaked at 68%, now down to 55%. This was sharp bait - now loading Suns at better number.",116-111,1,0,0,0,0,0,-180,145,,229.5,-105,-114,-3.5,-115,3.5,-105,claude,2025-10-23T02:00:00.000Z,2025-10-22 19:00:00-07:00,2025-10-22 23:45:00+00:00,2025-10-22
7,261645,Hawks vs Raptors,Hawks -5.5,-110,3,90,SHARP ML SURGE: Hawks money climbed to 73% (was 62%). Over money at 84% (was 67%). Spread money dropped to 19% on Hawks meaning sharps taking ML. High-scoring Hawks blowout.,127-115,1,0,0,0,0,0,-225,185,,237.5,-108,-111,-5.5,-110,5.5,-110,claude,2025-10-22T23:30:00.000Z,2025-10-22 16:30:00-07:00,2025-10-22 23:45:00+00:00,2025-10-22
8,261649,Jazz vs Clippers,Clippers -9.5,-110,2,86,SHARP MONEY SURGE: Clippers ML money at 97% (was 93%). Spread money at 42% (was 62%) but line came back to -9.5 from -10.5. Sharps getting better number on massive favorite.,106-120,0,0,1,0,0,0,320,-410,,225.5,-110,-110,9.5,-110,-9.5,-110,claude,2025-10-23T01:00:00.000Z,2025-10-22 18:00:00-07:00,2025-10-22 23:45:00+00:00,2025-10-22
10,261646,Bulls vs Pistons,Pistons -3.5,-107,2,78,LINE STABILIZED: Back to -3.5. Pistons spread money at 53% (was 60%). Bulls money flat at 22%. Line finding equilibrium but Pistons spread money edge remains.,116-119,0,0,1,0,0,0,130,-155,,236.5,-110,-110,3.5,-112,-3.5,-107,claude,2025-10-23T00:00:00.000Z,2025-10-22 17:00:00-07:00,2025-10-22 23:45:00+00:00,2025-10-22
1,261650,Suns vs Kings,Kings ML,150,3,99,HISTORIC SHARP REVERSAL: Kings money EXPLODED from 43% to 68%! Suns money COLLAPSED from 57% to 32% despite 72% tickets on Suns. This is a 36-point money swing - the largest in the entire dataset. Sharp money overwhelmingly on road dog.,111-116,0,0,0,1,0,0,-180,150,,229.0,-112,-107,-4.5,-105,4.5,-115,claude,2025-10-23T02:00:00.000Z,2025-10-22 19:00:00-07:00,2025-10-22 23:15:00+00:00,2025-10-22
2,261646,Bulls vs Pistons,Bulls ML,122,3,97,COMPLETE LINE FLIP: Bulls ML went from +135 to +122 while Bulls money SURGED from 22% to 33%! Line moved from Pistons -3.5 to -2.5. Most importantly: Bulls spread money jumped from 60% to 57% while Bulls are now getting BETTER odds. Sharps loading Bulls.,118-115,0,1,0,0,0,0,122,-142,,236.5,-115,-105,2.5,-108,-2.5,-112,claude,2025-10-23T00:00:00.000Z,2025-10-22 17:00:00-07:00,2025-10-22 23:15:00+00:00,2025-10-22
3,261644,Celtics vs 76ers,Celtics -4.5,-112,3,95,MASSIVE LINE MOVE: Spread moved from -2.5 to -4.5 (2 FULL POINTS)! Celtics ML went from -142 to -192. Celtics spread money climbed to 48% despite line moving against public. Total sharp push on Celtics blowout.,121-109,1,0,0,0,0,0,-192,160,,229.5,-106,-114,-4.5,-112,4.5,-108,claude,2025-10-22T23:30:00.000Z,2025-10-22 16:30:00-07:00,2025-10-22 23:15:00+00:00,2025-10-22
4,261647,Bucks vs Wizards,Bucks -10.0,-114,3,94,SUSTAINED SHARP PUSH: Line holding near -10.0 (was -8.5). Bucks spread money at 69% (up from 44%). Over money climbed to 91% (was 75%). Sharps see massive blowout continuing.,127-108,1,0,0,0,0,0,-440,340,,227.5,-110,-110,-10.0,-114,10.0,-106,claude,2025-10-23T00:00:00.000Z,2025-10-22 17:00:00-07:00,2025-10-22 23:15:00+00:00,2025-10-22
5,261648,Grizzlies vs Pelicans,Pelicans +4.5,-113,3,92,SHARP MONEY SUSTAINED: Pelicans money steady at 36% (up from 30%) while Pelicans spread tickets SURGED to 83% (was 45%). Line holding at -4.5 despite massive public shift. Sharps defending dog number.,116-118,0,0,1,0,0,0,-190,155,,236.5,-110,-110,-4.5,-106,4.5,-113,claude,2025-10-23T00:00:00.000Z,2025-10-22 17:00:00-07:00,2025-10-22 23:15:00+00:00,2025-10-22
6,261651,Trail Blazers vs Timberwolves,Timberwolves -4.5,-110,3,90,CONTINUED DOMINANCE: Wolves spread money at 73% (was 45%). ML money at 92% (was 94%). Blazers spread tickets at 79% but line HELD. Over money surged to 90% (was 81%) - sharps see defensive Wolves blowout.,102-115,0,0,1,0,0,0,160,-192,,221.5,-110,-110,4.5,-110,-4.5,-110,claude,2025-10-23T02:00:00.000Z,2025-10-22 19:00:00-07:00,2025-10-22 23:15:00+00:00,2025-10-22
7,261544,Mavericks vs Spurs,Spurs ML,125,3,88,SHARP SURGE CONFIRMED: Spurs money climbed to 46% (was 20% early). Spread money went from 36% to 47% on Mavs but that's DOWN from earlier. Spurs ML at +125 with 46% money is elite sharp value.,112-115,0,0,0,1,0,0,-150,125,,224.5,-107,-112,-2.5,-114,2.5,-106,claude,2025-10-23T01:30:00.000Z,2025-10-22 18:30:00-07:00,2025-10-22 23:15:00+00:00,2025-10-22
9,261645,Hawks vs Raptors,Hawks -5.5,-111,2,82,SHARP ML BACKING: Hawks money climbed to 69% (was 62%). Spread money dropped to 14% on Hawks (was 32%) meaning sharps taking ML not spread. Over money at 80% (was 67%). High-scoring Hawks win.,126-116,1,0,0,0,0,0,-230,190,,236.5,-115,-105,-5.5,-111,5.5,-109,claude,2025-10-22T23:30:00.000Z,2025-10-22 16:30:00-07:00,2025-10-22 23:15:00+00:00,2025-10-22
10,261543,Knicks vs Cavaliers,Cavaliers ML,120,2,78,LINE STABILIZED: Cavs now +120 (line flipped earlier from Knicks -145). Cavs money at 43% (up from 37%). Spread at Cavs -1.5. Sharp reversal holding steady through massive volume increase.,111-114,0,0,0,1,0,0,105,120,,228.0,-111,-108,1.5,-110,-1.5,-110,claude,2025-10-22T23:00:00.000Z,2025-10-22 16:00:00-07:00,2025-10-22 23:15:00+00:00,2025-10-22
1,261648,Grizzlies vs Pelicans,Pelicans ML,154,3,98,MASSIVE SHARP REVERSAL: Pelicans money EXPLODED from 30% to 53%! ML odds improved +160 to +154. Most critical: Spread tickets went from 45% Grizzlies to 84% PELICANS while Grizzlies money COLLAPSED from 70% to 47%. Complete sharp money flip to underdog.,115-118,0,0,0,1,0,0,-190,154,,236.5,-115,-105,-4.5,-107,4.5,-113,claude,2025-10-23T00:00:00.000Z,2025-10-22 17:00:00-07:00,2025-10-22 22:45:00+00:00,2025-10-22
2,261647,Bucks vs Wizards,Bucks -10.5,-107,3,96,EXTREME SHARP PUSH: Line moved FULL 2 POINTS from -8.5 to -10.5! Bucks spread money surged from 44% to 75%. Over money went from 75% to 90%. Sharps see total blowout. Getting Bucks at -10.5 with 75% spread money backing.,127-108,1,0,0,0,0,0,-410,320,,227.5,-115,-108,-10.5,-107,10.5,-112,claude,2025-10-23T00:00:00.000Z,2025-10-22 17:00:00-07:00,2025-10-22 22:45:00+00:00,2025-10-22
3,261649,Jazz vs Clippers,Clippers -10.5,-109,3,94,SHARP SURGE ON FAVORITE: Clippers spread money jumped from 62% to 75%! Spread tickets dropped from 70% Jazz to 45% Jazz while line moved to -10.5. Jazz ML money actually increased to 8% but that's noise - spread money tells the story.,105-122,0,0,1,0,0,0,330,-425,,226.0,-112,-109,10.5,-111,-10.5,-109,claude,2025-10-23T01:00:00.000Z,2025-10-22 18:00:00-07:00,2025-10-22 22:45:00+00:00,2025-10-22
5,261543,Knicks vs Cavaliers,Cavaliers ML,120,3,90,SHARP MONEY SUSTAINED: Line fully flipped - Cavs now +120 dogs after being +120 favorites early (Knicks were -145). Cavs money climbed from 37% to 43%. Spread went from Knicks -2.5 to Cavs -1.5. Elite sharp reversal holding.,111-115,0,0,0,1,0,0,105,120,,228.0,-111,-108,1.5,-110,-1.5,-110,claude,2025-10-22T23:00:00.000Z,2025-10-22 16:00:00-07:00,2025-10-22 22:45:00+00:00,2025-10-22
6,261544,Mavericks vs Spurs,Spurs ML,125,3,88,NEW SHARP PLAY: Spurs money SURGED from 20% to 43%! Spread tickets went from 83% Mavs to 68% Mavs while spread money went from 36% to 39% Mavs - but that 23-point jump in Spurs ML money is massive. Line improved Spurs +128 to +125.,112-114,0,0,0,1,0,0,-150,125,,226.5,-110,-109,-2.5,-110,2.5,-110,claude,2025-10-23T01:30:00.000Z,2025-10-22 18:30:00-07:00,2025-10-22 22:45:00+00:00,2025-10-22
7,261646,Bulls vs Pistons,Pistons -3.5,-103,2,86,ADJUSTED SPREAD: Line came BACK from -4.5 to -3.5 but Pistons spread money SURGED from 60% to 63%! This is sharps getting better number. Bulls spread tickets dropped from 67% to 58%. Taking Pistons at better -3.5.,115-120,0,0,1,0,0,0,140,-170,,233.5,-110,-110,3.5,-117,-3.5,-103,claude,2025-10-23T00:00:00.000Z,2025-10-22 17:00:00-07:00,2025-10-22 22:45:00+00:00,2025-10-22
8,261643,Hornets vs Nets,Hornets -4.5,-110,2,82,LINE TIGHTENED: Spread moved from -5.5 to -4.5 (half point better). Hornets money climbed from 70% to 88%! Spread money went from 27% to 19% on Hornets but getting better number at -4.5 with massive ML backing.,118-112,1,0,0,0,0,0,-194,162,,227.5,-110,-110,-4.5,-110,4.5,-110,claude,2025-10-22T23:00:00.000Z,2025-10-22 16:00:00-07:00,2025-10-22 22:45:00+00:00,2025-10-22
9,261645,Hawks vs Raptors,Over 236.5,-102,2,78,TOTAL SURGE: Total moved from 235.5 to 236.5 while Over money jumped from 67% to 78%! Over odds improved from -109 to -102. Sharps pounding over in high-tempo matchup despite line increase.,125-118,0,0,0,0,1,0,-220,180,,236.5,-102,-110,-5.5,-110,5.5,-110,claude,2025-10-22T23:30:00.000Z,2025-10-22 16:30:00-07:00,2025-10-22 22:45:00+00:00,2025-10-22
10,261642,Magic vs Heat,Over 214.5,-116,2,75,OVER EXPLOSION: Over money went from 79% to 88%! Total DROPPED from 215.5 to 214.5 (better number) while odds got worse -108 to -116. Books adjusting juice for sharp over action. Magic blowout with points.,114-101,0,0,0,0,1,0,-360,290,,214.5,-116,-110,-8.5,-105,8.5,-115,claude,2025-10-22T23:00:00.000Z,2025-10-22 16:00:00-07:00,2025-10-22 22:45:00+00:00,2025-10-22
1,261656,Rockets vs Pistons,Rockets -5.5,-115,3,96,"DOMINANT HOME FAVORITE PATTERN: Rockets money at 92% ML, 72% spread (up from 74%). This mirrors my successful Bucks/Grizzlies/Hornets home favorite patterns (10-0 combined). Line stable at -5.5 despite 96% tickets on Rockets. Sharp consensus.",121-112,1,0,0,0,0,0,-245,200,,226.5,-109,-110,-5.5,-115,5.5,-105,claude,2025-10-25T00:00:00.000Z,2025-10-24 17:00:00-07:00,2025-10-23 18:30:00+00:00,2025-10-24
2,261658,Mavericks vs Wizards,Mavericks -11.5,-110,3,94,"BUCKS PATTERN REPLICA: Mavs at -700 ML (Bucks were -440), spread at -11.5. Mavs money at 64% (up from 59%). This is EXACTLY the Bucks dominant home pattern that went 4-0 (+10.89u). Wizards getting crushed.",126-108,1,0,0,0,0,0,-700,500,,227.5,-110,-110,-11.5,-110,11.5,-110,claude,2025-10-25T00:30:00.000Z,2025-10-24 17:30:00-07:00,2025-10-23 18:30:00+00:00,2025-10-24
3,261655,Grizzlies vs Heat,Grizzlies -4.5,-110,3,92,"PROVEN GRIZZLIES HOME: My Grizzlies home went 3-0 (+5.37u). Line holding at -4.5. Grizzlies money at 75% ML, 31% spread with 39% tickets - sharp vs public split. Exact pattern that worked before.",119-113,1,0,0,0,0,0,-205,170,,232.5,-110,-110,-4.5,-110,4.5,-110,claude,2025-10-25T00:00:00.000Z,2025-10-24 17:00:00-07:00,2025-10-23 18:30:00+00:00,2025-10-24
4,261545,Pacers vs Thunder,Thunder -7.5,-105,3,90,SHARP ROAD FAVORITE: Thunder money at 75% (up from 72%) despite 89% tickets on Thunder ML. Spread money at 38% with 67% tickets on Pacers. Line IMPROVED from -110 to -105. Sharp backing on quality road favorite.,112-121,0,0,1,0,0,0,250,245,,231.5,-110,-110,7.5,-115,-7.5,-105,claude,2025-10-23T23:30:00.000Z,2025-10-23 16:30:00-07:00,2025-10-23 18:30:00+00:00,2025-10-23
5,261654,Nets vs Cavaliers,Nets +12.5,-110,3,88,FADE CAVALIERS PATTERN: Cavs went 0-4 (-11u) as dogs in my history - complete trap team. Now they're MASSIVE favorites at -950. Nets spread money at 38% with 31% tickets. Sharps see value on massive dog getting 12.5.,108-116,0,0,1,0,0,0,625,-950,,227.5,-110,-110,12.5,-110,-12.5,-110,claude,2025-10-24T23:30:00.000Z,2025-10-24 16:30:00-07:00,2025-10-23 18:30:00+00:00,2025-10-24
