rank,game_id,start_time,match,home_team,away_team,pick,odds,units,confidence_pct,reason,reason_code,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,timestamp
1,267503,2025-11-20T00:00:00.000Z,Wofford vs North Florida,Wofford,North Florida,Wofford -11.0,-113,3,95,"Massive sharp money signal. While tickets are moderate (59%), the money is overwhelming (89%), indicating the biggest bettors are confident Wofford covers double digits.",SHARP_MONEY_FAV,85-70,1,0,0,0,0,0,-575,425,N/A,161.5,-110,-107,-11.0,-113,11.0,-107,2025-11-19 21:29:22.735240
2,264901,2025-11-19T23:30:00.000Z,Penn State vs Harvard,Penn State,Harvard,Harvard +12.5,-110,3,92,"Strong sharp support for the road dog. Harvard has 58% of the tickets but a massive 79% of the money, suggesting the line is inflated.",SHARP_DOG,75-70,0,0,1,0,0,0,-950,645,N/A,143.5,-110,-110,-12.5,-110,12.5,-110,2025-11-19 21:29:22.735240
3,264902,2025-11-20T00:00:00.000Z,Indiana St vs LA Tech,Indiana St,LA Tech,LA Tech +3.5,-115,2,88,"Classic sharp underdog split. The public is leaning Indiana St, but LA Tech commands 58% of the money on only 43% of the tickets.",SHARP_DOG_SHORT,74-73,0,0,1,0,0,0,-173,145,N/A,147.0,-110,-110,-3.5,-105,3.5,-115,2025-11-19 21:29:22.735240
4,264917,2025-11-20T00:30:00.000Z,Marquette vs Dayton,Marquette,Dayton,Dayton +5.5,-110,2,85,"Sharp money favors the road dog in this quality matchup. Dayton is seeing 70% of the money compared to 56% of the tickets.",SHARP_DOG_MID,78-76,0,0,1,0,0,0,-230,190,N/A,152.5,-108,-110,-5.5,-111,5.5,-110,2025-11-19 21:29:22.735240
5,267562,2025-11-20T00:00:00.000Z,Temple vs Hofstra,Temple,Hofstra,Temple -5.5,-108,2,82,"Home favorite with sharp backing. Temple has only 45% of tickets (contrarian) but has pulled in 59% of the money.",SHARP_MONEY_FAV_SHORT,75-68,1,0,0,0,0,0,-245,202,N/A,145.5,-111,-110,-5.5,-108,5.5,-112,2025-11-19 21:29:22.735240
6,274946,2025-11-20T03:00:00.000Z,Saint Mary's vs Arkansas St,Saint Mary's,Arkansas St,Saint Mary's -20.5,-110,1,79,"Deep contrarian favorite. The public is terrified of the spread (20% tickets), but smart money (39%) is quietly backing the blowout.",CONTRARIAN_SHARP_FAV,85-60,1,0,0,0,0,0,-3600,1448,N/A,148.5,-105,-112,-20.5,-110,20.5,-110,2025-11-19 21:29:22.735240
7,264909,2025-11-20T01:00:00.000Z,Creighton vs North Dakota,Creighton,North Dakota,Creighton -27.5,-110,1,78,"Similar to St. Mary's, the public is staying away (18% tickets), but the money percentage (31%) is significantly higher, suggesting value.",CONTRARIAN_SHARP_FAV_LARGE,90-60,1,0,0,0,0,0,-9000,3500,N/A,155.5,-115,-110,-27.5,-110,27.5,-110,2025-11-19 21:29:22.735240
8,266429,2025-11-20T03:00:00.000Z,Weber State vs Campbell,Weber State,Campbell,Under 159.5,-110,1,77,"Fade the public. 76% of tickets are on the Over, creating an inflated line. Betting the Under against the public consensus.",FADE_PUBLIC_OVER_HIGH,78-72,0,0,0,0,0,1,-147,123,N/A,159.5,-110,-110,-2.5,-110,2.5,-110,2025-11-19 21:29:22.735240
9,266435,2025-11-20T00:30:00.000Z,Sam Houston vs Wyoming,Sam Houston,Wyoming,Under 157.5,-110,1,76,"Discrepancy play. 66% of tickets are on the Over, but money drops to 54%, signaling large bettors aren't as convinced as the public.",FADE_PUBLIC_OVER_DIFF,75-70,0,0,0,0,0,1,-125,105,N/A,157.5,-110,-110,-1.5,-115,1.5,-105,2025-11-19 21:29:22.735240
10,264911,2025-11-20T00:00:00.000Z,Duquesne vs Loyola (MD),Duquesne,Loyola (MD),Under 149.5,-107,1,75,"Sharp lean on the Under. While ticket count is even (50%), the money on the Under is higher (62% implied by Over's 38%).",SHARP_MONEY_UNDER,70-65,0,0,0,0,0,1,-1650,950,N/A,149.5,-115,-107,-15.5,-104,15.5,-117,2025-11-19 21:29:22.735240
